"region.name.russian","ID_GADM","ID_NED","region_type","federal_district","economic_region","feddist_id","ecoreg_id"
"Еврейская автономная область",2598,2719,"autonomous oblast","Far Eastern Federal District","Far Eastern",NA,NA
"Чукотский автономный округ",2524,2485,"autonomous okrug","Far Eastern Federal District","Far Eastern",NA,NA
"Ненецкий автономный округ",2560,2489,"autonomous okrug","Northwestern Federal District","Northern",NA,NA
"Ханты-Мансийский автономный округ — Югра",2543,2541,"autonomous okrug","Ural Federal District","West Siberian",NA,NA
"Ямало-Ненецкий автономный округ",2596,2487,"autonomous okrug","Ural Federal District","West Siberian",NA,NA
"Дальневосточный экономический район",NA,NA,"economic region",NA,NA,NA,"er_4"
"Западно-Сибирский экономический район",NA,NA,"economic region",NA,NA,NA,"er_13"
"Калининградский экономический район",NA,NA,"economic region",NA,NA,NA,"er_5"
"Поволжский экономический район",NA,NA,"economic region",NA,NA,NA,"er_11"
"Волго-Вятский экономический район",NA,NA,"economic region",NA,NA,NA,"er_12"
"Северо-Кавказский экономический район",NA,NA,"economic region",NA,NA,NA,"er_7"
"Уральский экономический район",NA,NA,"economic region",NA,NA,NA,"er_10"
"Центрально-Чернозёмный экономический район",NA,NA,"economic region",NA,NA,NA,"er_2"
"Северный экономический район",NA,NA,"economic region",NA,NA,NA,"er_8"
"Восточно-Сибирский экономический район",NA,NA,"economic region",NA,NA,NA,"er_3"
"Центральный экономический район",NA,NA,"economic region",NA,NA,NA,"er_1"
"Северо-Западный экономический район",NA,NA,"economic region",NA,NA,NA,"er_9"
"Москва",NA,2510,"federal city","Central Federal District","Central",NA,NA
"Севастополь",NA,6356,"federal city","Crimean Federal District",NA,NA,NA
"Санкт-Петербург",2526,2481,"federal city","Northwestern Federal District","Northwestern",NA,NA
"Крымский федеральный округ",NA,NA,"federal district",NA,NA,"fd_2",NA
"Приволжский федеральный округ",NA,NA,"federal district",NA,NA,"fd_9",NA
"Дальневосточный федеральный округ",NA,NA,"federal district",NA,NA,"fd_3",NA
"Сибирский федеральный округ",NA,NA,"federal district",NA,NA,"fd_6",NA
"Центральный федеральный округ",NA,NA,"federal district",NA,NA,"fd_1",NA
"Северо-Западный федеральный округ",NA,NA,"federal district",NA,NA,"fd_5",NA
"Северо-Кавказский федеральный округ",NA,NA,"federal district",NA,NA,"fd_4",NA
"Уральский федеральный округ",NA,NA,"federal district",NA,NA,"fd_8",NA
"Россия",NA,NA,"federal state",NA,NA,NA,NA
"Камчатский край",2537,3561,"krai","Far Eastern Federal District","Far Eastern",NA,NA
"Хабаровский край",2541,2709,"krai","Far Eastern Federal District","Far Eastern",NA,NA
"Приморский край",2570,2689,"krai","Far Eastern Federal District","Far Eastern",NA,NA
"Ставропольский край",2579,2502,"krai","North Caucasian Federal District","North Caucasus",NA,NA
"Алтайский край",2513,2543,"krai","Siberian Federal District","West Siberian",NA,NA
"Забайкальский край",2523,2727,"krai","Siberian Federal District","East Siberian",NA,NA
"Красноярский край",2550,2722,"krai","Siberian Federal District","East Siberian",NA,NA
"Краснодарский край",2549,2516,"krai","Southern Federal District","North Caucasus",NA,NA
"Пермский край",2569,3284,"krai","Volga Federal District","Ural",NA,NA
"Республика Крым",NA,867,NA,"Crimean Federal District",NA,NA,NA
"Корякский округ",NA,NA,NA,NA,NA,NA,NA
"Агинский Бурятский автономный округ",NA,NA,NA,NA,NA,NA,NA
"Байконур (город)",NA,NA,NA,NA,NA,NA,NA
"Таймырский (Долгано-Ненецкий) автономный округ",NA,NA,NA,NA,NA,NA,NA
"Коми-Пермяцкий автономный округ",NA,NA,NA,NA,NA,NA,NA
"Усть-Ордынский Бурятский автономный округ",NA,NA,NA,NA,NA,NA,NA
"Чечено-Ингушская Автономная Советская Социалистическая Республика",NA,NA,NA,NA,NA,NA,NA
"Читинская область",NA,NA,NA,NA,NA,NA,NA
"Южный федеральный округ",NA,NA,"federal district",NA,NA,"fd_7",NA
"Эвенкийский автономный округ",NA,NA,NA,NA,NA,NA,NA
"Белгородская область",2518,2515,"oblast","Central Federal District","Central Black Earth",NA,NA
