"region.name.achinese","region.name.afrikaans","region.name.albanian","region.name.arabic","region.name.aragonese","region.name.armenian","region.name.avaric","region.name.azerbaijani","region.name.bashkir","region.name.basque","region.name.belarusian","region.name.bosnian","region.name.bulgarian","region.name.catalan","region.name.chechen","region.name.chinese","region.name.chuvash","region.name.croatian","region.name.czech","region.name.danish","region.name.dutch","region.name.eastern.mari","region.name.erzya","region.name.esperanto","region.name.estonian","region.name.finnish","region.name.french","region.name.gagauz","region.name.galician","region.name.georgian","region.name.german","region.name.gothic","region.name.greek","region.name.hakka","region.name.hebrew","region.name.hindi","region.name.hungarian","region.name.icelandic","region.name.indonesian","region.name.irish","region.name.italian","region.name.japanese","region.name.kabardian","region.name.kalmyk","region.name.karachay-balkar","region.name.kazakh","region.name.komi","region.name.korean","region.name.latin","region.name.latvian","region.name.lithuanian","region.name.low.german","region.name.luxembourgish","region.name.macedonian","region.name.malay","region.name.marathi","region.name.mongolian","region.name.northern.sami","region.name.norwegian.bokmål","region.name.norwegian.nynorsk","region.name.ossetic","region.name.pampanga","region.name.persian","region.name.polish","region.name.portuguese","region.name.romanian","region.name.russian","region.name.sakha","region.name.scots","region.name.serbian","region.name.serbo-croatian","region.name.slovak","region.name.slovenian","region.name.spanish","region.name.sundanese","region.name.swedish","region.name.tagalog","region.name.tamil","region.name.tatar","region.name.thai","region.name.turkish","region.name.udmurt","region.name.ukrainian","region.name.urdu","region.name.uyghur","region.name.uzbek","region.name.veps","region.name.vietnamese","region.name.waray","region.name.welsh","region.name.western.punjabi","region.name.беларуская.тарашкевіца‎","region.name.буряад","region.name.молдовеняскэ","region.name.english"
"Republik Adygea","Adigea","Adigjeja","أديغيا","Adiguesia","Ադիգեա","Адигъистан","Adıgey","Адыгей Республикаһы","Adigea","Адыгея","Adigeja","Адигея","Adiguèsia","Адыгейчоь","阿迪格共和国","Адыгей","Adigejska","Adygejsko","Republikken Adygeja","Adygea","Адыгей Республик","Адыгея Республикась","Adigeio","Adõgee","Adygeia","Adyguée","Adige Respublikası","Adiguesia","ადიღე","Adygeja","𐌰𐌳𐌹𐌲𐌴𐌾𐌰","Δημοκρατία της Αντιγκέα","Adygea Khiung-fò-koet","אדיגיה","आदिगेया","Adigeföld","Adigea","Adygea","Adygea","Adighezia","アディゲ共和国","Адыгэ Республикэ","Адъгудин таңһч","Адыгея","Адыгея","Адыгея","아디게야 공화국","Adygeia","Adigeja","Adygėja","Adygien","Adygien","Адигеја","Adygea","अदिगेया","Адыгей","Adygeia","Adygia","Adygia","Адыгей","Adygea","آدیغیه","Adygeja","Adiguésia","Adîgheia","Адыгея","Адыгея","Adygea","Адигеја","Adigeja","Adygejsko","Adigeja","Adigueya","Adygea","Adygeiska republiken","Adygea","அடிகேயா","Адыгея","สาธารณรัฐอะดีเกยา","Adıge Cumhuriyeti","Адыгея","Адигея","ادیگیا","ئادىگېيە","Adigeya","Adigejan Tazovaldkund","Adygea","Republika han Adygea","Adygea","ادیجیا","Адыгея","Бүгэдэ Найрамдаха Адыгей Улас","Адыгея","Adygea"
"Republik Altai","Altai",NA,"جمهورية ألطاي",NA,"Ալթայի Հանրապետություն",NA,"Altay Respublikası","Алтай Республикаһы","Altaiko Errepublika","Рэспубліка Алтай","Altajska republika","Алтай (република)","República de lAltai","Республика Алтай","阿尔泰共和国",NA,"Altajska","Altajská republika","Republikken Altaj","Altaj (deelrepubliek)","Алтай Республик","Алтай Республикась","Respubliko Altaj","Altai Vabariik","Altain tasavalta","République de lAltaï","Altay Respublikası","República de Altai","ალთაის რესპუბლიკა","Republik Altai",NA,"Δημοκρατία των Αλτάι","Altai Khiung-fò-koet","אלטאי (רפובליקה)","अल्ताई गणराज्य","Altaj Köztársaság",NA,"Republik Altai","Poblacht Altae","Repubblica dellAltaj","アルタイ共和国",NA,"Теленгудин таңһч",NA,"Алтай Республикасы","Алтай республика","알타이 공화국","Altai (res publica)","Altaja Republika","Altajaus Respublika",NA,NA,"Република Алтај","Republik Altai","आल्ताय प्रजासत्ताक","Алтайн Бүгд Найрамдах Улс","Altai dásseváldi","Altaj","Republikken Altaj","Республикæ Алтай","Republika ning Altai","جمهوری آلتایی","Republika Ałtaju","Altai (república)","Republica Altai","Республика Алтай","Алтай Өрөспүүбүлүкэтэ","Altai Republic","Алтај (република)","Altaj (republika)","Altajsko","Republika Altaj","República de Altái","Républik Altai","Altajrepubliken","Republika ng Altai","அல்த்தாய் குடியரசு","Алтай Республикасы",NA,"Altay Cumhuriyeti","Алтай Республика","Республіка Алтай","التائی جمہوریہ","ئالتاي","Oltoy Respublikasi","Altajan Tazovaldkund","Cộng hòa Altai","Republika Altai","Gweriniaeth Altai","التائی","Рэспубліка Алтай","Алтай Республика",NA,"Altai_Republic"
"Republik Bashkortostan","Basjkortostan","Bashkortostani","باشكورستان","Baixkiria","Բաշկորտոստան",NA,"Başqırdıstan","Башҡортостан","Baxkortostan","Башкартастан","Baškortostan","Башкирия","Baixkíria","Башкирийчоь","巴什科尔托斯坦共和国","Пушкăрт Республики","Baškirska","Baškortostán","Republikken Basjkortostan","Basjkirostan","Пошкырт Эл","Башкирия Республикась","Baŝkirio","Baškortostan","Baškortostan","Bachkirie","Başkiriya","Bashkortostán","ბაშკირეთი","Baschkortostan",NA,"Δημοκρατία του Μπασκορτοστάν","Bashkortostan Khiung-fò-koet","בשקיריה","बश्कोरतोस्तान","Baskíria","Basjkortostan","Bashkortostan","An Bhaisceartastáin","Baschiria","バシコルトスタン共和国",NA,"Иштгудин таңһч",NA,"Башқұртстан","Башкортостан","바시키르 공화국","Baschkiria","Baškortostāna","Baškirija",NA,NA,"Башкортостан","Bashkortostan","बाश्कोर्तोस्तान","Башкортостан","Baškortostan","Basjkortostan","Basjkortostan","Башкортостан","Bashkortostan","باشقیرستان","Baszkortostan","Bascortostão","Bașchiria","Башкортостан","Башкортостан","Bashkortostan","Башкортостан","Baškirija","Baškirsko","Baškortostan","Baskortostán","Bashkortostan","Basjkirien","Bashkortostan","பாஷ்கொர்டொஸ்தான்","Башкортстан",NA,"Başkurdistan","Башкирия","Башкортостан","باشکورتوستان","باشقۇرتىستان","Boshqirdiston","Baškortostanan Tazovaldkund","Bashkortostan","Bashkortostan","Bashkortostan","باشکیرستان","Башкартастан","Башкортостан",NA,"Bashkortostan"
"Republik Buryat","Boerjatië","Burjatia","بورياتيا","Buriatia","Բուրյաթիա",NA,"Buryatiya","Бүрәт Республикаһы","Buriatia","Бурація","Burjatija","Бурятия","Buriàtia","Бурятийн Республика","布里亞特共和國","Буряти","Burjatska","Burjatsko","Republikken Burjatia","Boerjatië","Бурятий","Бурятия Республикась","Burjatio","Burjaatia","Burjatia","Bouriatie","Buryatiya","Buriatia","ბურიატეთი","Burjatien",NA,"Δημοκρατία της Μπουργιατίας","Buryatia Khiung-fò-koet","בוריאטיה","बुर्यातिया","Burjátföld",NA,"Buryatia","An Bhuiriáit","Buriazia","ブリヤート共和国",NA,"Бурядин таңһч",NA,"Бурятия","Бурятия","부랴트 공화국","Buriatia","Burjatija","Buriatija",NA,"Burjatien","Бурјатија","Republik Buryatia","बुर्यातिया","Буриад орон","Burjatia","Burjatia","Burjatia","Буряти","Buryatia","بوریاتیا","Buriacja","Buriácia","Buriatia","Бурятия","Бүрээт Өрөспүүбүлүкэтэ","Buryatie","Бурјатија","Burjatska","Buriatsko","Burjatija","Buriatia","Buryatia","Burjatien","Buryatia","புரியாத்தியா","Бурятия",NA,"Buryatya","Бурятия","Бурятія","بوریاتیا","بۇرياتىيە","Buryatiya","Burätijan Tazovaldkund","Buryatia","Republika han Buryatia",NA,"بریاتیا","Буратыя","Буряад Орон",NA,"Buryatia"
"Republik Chechen","Tsjetsjnië","Çeçenia","الشيشان","Chechenia","Չեչենական հանրապետություն","Буртиялъ","Çeçenistan","Чечен Республикаһы","Txetxenia","Чачня","Čečenija","Чеченска република","Txetxènia","Нохчийн Республика","车臣共和国","Чечен Республики","Čečenija","Čečensko","Republikken Tjetjenien","Tsjetsjenië","Чечня","Чеченэнь Республикась","Ĉeĉenio","Tšetšeeni Vabariik","Tšetšenia","Tchétchénie","Çeçeniya","Chechenia","ჩეჩნეთი","Tschetschenien","𐍄𐍃𐌾𐌴𐍄𐍃𐌾𐌴𐌽𐌾𐌰","Δημοκρατία της Τσετσενίας","Chechnya Khiung-fò-koet","צצניה","चेचन्या","Csecsenföld","Téténía","Chechnya","An tSeisnia","Cecenia","チェチェン共和国","Шэшэн Республикэ","Чеченмудин таңһч","Чечен Республика",NA,"Чечня","체첸 공화국","Tsetsenia","Čečenija","Čečėnija",NA,NA,"Чеченија","Chechnya","चेचन्या","Чечень","Tšetšenia","Tsjetsjenia","Tsjetsjenia","Цæцæн","Chechnya","چچن","Czeczenia","Chechênia","Cecenia","Чечня","Чечня","Chechnie","Чеченија","Čečenija","Čečensko","Čečenija","Chechenia","Chéchnya","Tjetjenien","Chechnya","செச்சினியா","Чечня","สาธารณรัฐเชเชน","Çeçenistan","Чечня","Чечня","چیچنیا","چېچېنىيە","Checheniston","Čečenijan Tazovaldkund","Chechnya","Chechnya","Tsietsnia","چیچنیا","Чачэнія","Чечня",NA,"Chechnya"
"Republik Chuvash","Tsjoewasjië","Çuvashia","تشوفاشيا",NA,"Չուվաշիա",NA,"Çuvaşıstan",NA,"Txuvaxia","Чувашыя","Čuvašija","Чувашия","Txuvàixia","Чуваши","楚瓦什共和国","Чăваш Республики","Čuvaška","Čuvašsko","Republikken Tjuvasjien","Tsjoevasjië","Чуваший","Ветькень Республикась","Ĉuvaŝio","Tšuvaššia","Tšuvassia","Tchouvachie","Çuvaşiya","Chuvashia","ჩუვაშეთი","Tschuwaschien",NA,"Τσουβασία","Chuvash Khiung-fò-koet","צובשיה",NA,"Csuvasföld",NA,"Chuvashia","An tSuvais","Ciuvascia","チュヴァシ共和国",NA,"Чәвәш таңһч",NA,NA,"Чувашия","추바시 공화국",NA,"Čuvašija","Čiuvašija",NA,NA,"Чувашија","Chuvashia","चुवाशिया","Чуваш","Tšuvassia","Tsjuvasjia","Tsjuvasjia","Чуваши","Chuvashia","چواشستان","Czuwaszja","Chuváchia","Ciuvașia","Чувашия","Чувашия","Chuvashie","Чувашија","Čuvaška","Čuvašsko","Čuvašija","Chuvasia","Chuvashia","Tjuvasjien","Chuvashia","சுவாசியா","Чуашстан",NA,"Çuvaşistan","Чувашия","Чуваська Республіка","چوواشیا","چۇۋاشىيە","Chuvashiya","Čuvašijan Tazovaldkund","Chuvashia","Chuvashia",NA,"چوواشیا","Чувашыя","Чуваши",NA,"Chuvashia"
NA,NA,NA,"جمهورية القرم","Republica de Crimea","Ղրիմի Հանրապետություն",NA,NA,"Ҡырым Республикаһы","Krimeako Errepublika","Рэспубліка Крым",NA,"Република Крим","República de Crimea","Республика ГӀирма","克里米亞共和國",NA,"Republika Krim","Republika Krym","Republikken Krim","Republiek van de Krim","Крым Республик","Крым Республикась","Respubliko Krimeo (Rusio)",NA,"Krimin tasavalta","République de Crimée","Krım",NA,NA,NA,NA,"Δημοκρατία της Κριμαίας",NA,NA,NA,"Krími Köztársaság",NA,"Republik Krimea",NA,"Repubblica di Crimea (Federazione russa)","クリミア共和国",NA,NA,NA,NA,NA,"크림 공화국","Crimaea (res publica)","Krimas Republika",NA,NA,NA,"Република Крим","Republik Krimea",NA,NA,NA,"Republikken Krim",NA,NA,NA,"جمهوری کریمه","Krym (jednostka administracyjna Rosji)","República da Crimeia","Republica Crimeea","Республика Крым",NA,NA,"Република Крим","Republika Krim",NA,NA,"República de Crimea",NA,"Republiken Krim",NA,NA,"Кырым Җөмһүрияте","สาธารณรัฐไครเมีย",NA,NA,"Республіка Крим","جمہوریہ کریمیا",NA,NA,"Krim (Venäman region)","Cộng hòa Krym",NA,"Gweriniaeth Crimea",NA,"Рэспубліка Крым",NA,NA,"Republic_of_Crimea"
"Republik Dagestan","Dagestan","Dagestani","داغستان",NA,"Դաղստան","Дагъистан","Dağıstan","Дағыстан","Dagestan","Дагестан","Dagestan","Дагестан","Daguestan","ДегӀаста","达吉斯坦共和国","Дагестан Республики","Dagestan","Dagestán","Republikken Dagestan","Dagestan","Дагестан","Дагестан Республикась","Dagestano","Dagestan","Dagestan","Daguestan","Dagestan","Daguestán","დაღესტანი","Dagestan","𐌳𐌰𐌲𐌴𐍃𐍄𐌰𐌽","Δημοκρατία του Νταγκεστάν","Dagestan Khiung-fò-koet","דאגסטן","दाग़िस्तान","Dagesztán","Dagestan","Dagestan","An Dagastáin","Daghestan","ダゲスタン共和国","Дагъыстэн","Дагъсин таңһч","Дагъыстан","Дағыстан","Дагестан","다게스탄 공화국","Daghestania","Dagestāna","Dagestanas","Dagestan","Dagestan","Дагестан","Dagestan","दागिस्तान","Дагестан","Dagestan","Dagestan","Dagestan","Дагъистан","Dagestan","داغستان","Dagestan","Daguestão","Daghestan","Дагестан","Дагестаан","Dagestan","Дагестан","Dagestan","Dagestan","Dagestan","Daguestán","Dagéstan","Dagestan","Dagestan","தாகெஸ்தான்","Дагстан",NA,"Dağıstan","Дагестан","Дагестан","داغستان","داغىستان","Dogʻiston","Dagestanan Tazovaldkund","Dagestan","Dagestan",NA,"داغستان","Дагестан","Дагестан",NA,"Dagestan"
"Republik Ingushetia","Ingoesjetië",NA,"إنغوشيتيا",NA,"Ինգուշեթիա","Гъалгъай","İnquşetiya",NA,"Inguxetia","Інгушэція","Ingušetija","Ингушетия","Ingúixia","ГӀалгӀайчоь","印古什共和国","Ингушети","Inguška","Ingušsko","Republikken Ingusjien","Ingoesjetië","Ингушетий","Ингушетия Республикась","Inguŝio","Inguššia","Ingušia","Ingouchie","İnguşetiya","Ingusetia","ინგუშეთი","Inguschetien",NA,"Δημοκρατία της Ινγκουσετίας","Ingushetia Khiung-fò-koet","אינגושטיה",NA,"Ingusföld",NA,"Ingushetia","An Iongúiséit","Inguscezia","イングーシ共和国","Ингушей","Иңһушин таңһч","Ингушетия","Ингушетия","Галгай Республика","인구시 공화국",NA,"Ingušija","Ingušija",NA,NA,"Ингушетија","Ingushetia","इंगुशेतिया","Ингушет","Ingušia","Ingusjetia","Ingusjetia","Мæхъхъæл",NA,"اینگوشتیا","Inguszetia","Inguchétia","Ingușetia","Ингушетия","Ингушетия","Ingushetie","Ингушетија","Ingušetija","Ingušsko","Ingušetija","Ingusetia","Ingushétia","Ingusjien","Ingushetia","இங்குசேத்தியா","Ингушетия",NA,"İnguşetya","Ингушетия","Інгушетія","انگوشتیا","ئىنگۇشېتىيە","Ingushiya","Ingušetijan Tazovaldkund","Ingushetiya","Ingushetia",NA,"انگشتیا","Інгушэтыя","Ингушети",NA,"Ingushetia"
"Republik Kabardino-Balkar","Kabardino-Balkarië",NA,"قبردينو - بلقاريا",NA,"Կաբարդինո-Բալկարիա","Къабарда-Балкъар","Kabarda-Balkariya",NA,"Kabardino-Balkaria","Кабардзіна-Балкарыя","Kabardino-Balkarija","Кабардино-Балкария","Kabardino-Balkària","ГӀебартойн-Балкхаройчоь","卡巴爾達-巴爾卡爾共和國","Кабарда-Балкар Республики","Kabardsko-Balkarska","Kabardsko-Balkarsko","Republikken Kabardino-Balkarien","Kabardië-Balkarië","Кабарда-Балкарий","Кабардинэнь-Балкария Республикась","Kabardio-Balkario","Kabardi-Balkaaria","Kabardi-Balkaria","Kabardino-Balkarie","Kabardino-Balkariya","Kabardino-Balkaria","ყაბარდო-ბალყარეთი","Kabardino-Balkarien",NA,"Δημοκρατία της Καμπαρντίνο - Μπαλκάρια","Kabardino-Balkaria Khiung-fò-koet","קברדינו-בלקריה",NA,"Kabard- és Balkárföld",NA,"Kabardino-Balkaria","An Chabairdín-Bhalcáir","Cabardino-Balcaria","カバルダ・バルカル共和国","Къэбэрдей-Балъкъэр","Кавардин болн Балкармудин таңһч","Къабарты-Малкъар","Қабарда-Балқария","Кабарда-Балкария","카바르디노발카르 공화국","Cabardino-Balcaria","Kabarda-Balkārija","Kabarda-Balkarija",NA,NA,"Кабардино-Балкарија","Kabardino-Balkaria","काबार्दिनो-बाल्कारिया","Кабардино-Балкар","Kabardi-Balkaria","Kabardino-Balkaria","Kabardino-Balkaria","Кæсæг-Балхъар",NA,"کاباردینو-بالکاریا","Kabardo-Bałkaria","Cabárdia-Balcária","Kabardino-Balkaria","Кабардино-Балкария","Кабардино-Балкария","Kabardino-Balkarie","Кабардино-Балкарија","Kabardsko-Balkarska","Kabardsko-Balkarsko","Kabardino-Balkarija","Kabardia-Balkaria","Kabardino-Balkaria","Kabardinien-Balkarien","Kabardino-Balkaria","கபர்தினோ-பல்கரீயா","Кабарда-Балкария",NA,"Kabardino-Balkarya","Кабардино-Балкария","Кабардино-Балкарія","کباردینو-بالکار جمہوریہ","كاباردىنو-بالقارىستان","Kabarda-Balkariya","Kabardan da Balkarijan Tazovaldkund","Kabardino-Balkaria","Kabardino-Balkaria","Kabardino-Balkaria","کباردینو بلکاریہ","Кабардзіна-Балкарыя","Бүгэдэ Найрамдаха Кабардино-Балкари Улас",NA,"Kabardino-Balkaria"
