"x"
"Алтайский край"
"Амурская область"
"Архангельская область"
"Астраханская область"
"Белгородская область"
"Брянская область"
"Владимирская область"
"Волгоградская область"
"Вологодская область"
"Воронежская область"
"г.Москва"
"г.Санкт-Петербург"
"Дальневосточный Федеральный округ"
"Еврейская автономная область"
"Забайкальский край"
"Ивановская область"
"Иркутская область"
"Кабардино-Балкарская Республика"
"Калининградская область"
"Калужская область"
"Камчатский край"
"Карачаево-Черкесская Республика"
"Кемеровская область"
"Кировская область"
"Костромская область"
"Краснодарский край"
"Красноярский край"
"Курганская область"
"Курская область"
"Ленинградская область"
"Липецкая область"
"Магаданская область"
"Московская область"
"Мурманская область"
"Ненецкий авт.округ"
"Нижегородская область"
"Новгородская область"
"Новосибирская область"
"Омская область"
"Оренбургская область"
"Орловская область"
"Пензенская область"
"Пермский край"
"Приволжский Федеральный округ"
"Приморский край"
"Псковская область"
"Республика Адыгея"
"Республика Алтай"
"Республика Башкортостан"
"Республика Бурятия"
"Республика Дагестан"
"Республика Ингушетия"
"Республика Калмыкия"
"Республика Карелия"
"Республика Коми"
"Республика Марий Эл"
"Республика Мордовия"
"Республика Саха (Якутия)"
"Республика Северная Осетия-Алания"
"Республика Татарстан"
"Республика Тыва"
"Республика Хакасия"
"Российская Федеpация"
"Ростовская область"
"Рязанская область"
"Самарская область"
"Сахалинская область"
"Свердловская область"
"Северо-Западный Федеральный округ"
"Северо-Кавказский Федеральный округ"
"Сибирский Федеральный округ"
"Смоленская область"
"Ставропольский край"
"Тамбовская область"
"Тверская область"
"Томская область"
"Тульская область"
"Тюменская область"
"Удмуртская Республика"
"Ульяновская область"
"Уральский Федеральный округ"
"Хабаровский край"
"Ханты-Мансийский авт.округ-Югра"
"Центральный Федеральный округ"
"Челябинская область"
"Чеченская Республика"
"Чувашская Республика"
"Чукотский авт.округ"
"Южный Федеральный округ (с 2010 года)"
"Ямало-Ненецкий авт.округ"
"Ярославская область"
